skill,min,max,mean,stdev,plage,coef,proba,nb annonces
c,20160,96000,42310,11222,75840,0.7479289940828402,0.007863788075058945,821
agile,20640,120000,45009,12513,99360,0.9798816568047336,0.01030255779453925,650
javascript,20640,120000,42147,10894,99360,0.9798816568047336,0.01030255779453925,595
sql,20160,120000,43442,13224,99840,0.9846153846153848,0.010352328605140891,451
php,20160,80000,39827,8864,59840,0.590138067061144,0.006204761055004315,444
html,20160,80000,39908,9936,59840,0.590138067061144,0.006204761055004315,422
git,20640,96000,41569,10528,75360,0.7431952662721893,0.007814017264457306,399
css,20160,84000,40028,9746,63840,0.6295857988165681,0.006619517810017972,397
js,20160,84000,43972,10673,63840,0.6295857988165681,0.006619517810017972,363
angular,20640,120000,43218,11464,99360,0.9798816568047336,0.01030255779453925,343
r,20160,120000,46279,13354,99840,0.9846153846153848,0.010352328605140891,314
python,20400,120000,47170,12759,99600,0.9822485207100592,0.01032744319984007,313
scrum,21600,120000,45271,12981,98400,0.970414201183432,0.010203016173335971,300
framework,20640,96000,41677,11073,75360,0.7431952662721893,0.007814017264457306,274
cloud,22000,120000,46960,12634,98000,0.9664694280078896,0.010161540497834607,267
react,21600,120000,45328,12018,98400,0.970414201183432,0.010203016173335971,265
mysql,21408,84000,39860,9325,62592,0.6172781065088757,0.006490113702453711,264
symfony,20160,75000,41100,9170,54840,0.5408284023668639,0.005686315111237243,214
devops,25000,120000,47196,12301,95000,0.9368836291913216,0.009850472931574364,184
jenkins,22800,75000,42876,10073,52200,0.514792899408284,0.005412575652928229,180
postgresql,21408,84000,44464,11474,62592,0.6172781065088757,0.006490113702453711,163
jquery,20160,80000,39538,10441,59840,0.590138067061144,0.006204761055004315,159
nodejs,21600,84000,45302,11219,62400,0.6153846153846154,0.006470205378213056,153
ux,25000,100000,43826,12105,75000,0.7396449704142012,0.007776689156506076,146
aws,30000,80000,49659,10584,50000,0.4930966469428008,0.005184459437670718,146
node,25320,76800,45425,10504,51480,0.5076923076923077,0.0053379194370257715,140
learning,21600,96000,49883,13654,74400,0.7337278106508875,0.007714475643254028,137
crm,21600,90000,44532,14229,68400,0.6745562130177515,0.007092340510733542,126
kubernetes,23040,80000,46400,10966,56960,0.5617357001972386,0.005906136191394482,107
android,21600,132000,44151,14750,110400,1.0887573964497042,0.011447286438376943,107
erp,22000,65000,40575,8693,43000,0.4240631163708087,0.004458635116396817,105
mvc,21408,80000,43565,11612,58592,0.5778303747534517,0.006075356947440054,103
reactjs,25000,80000,46563,11752,55000,0.5424063116370809,0.00570290538143779,103
elasticsearch,20400,84000,47451,12622,63600,0.6272189349112426,0.0065946324047171535,103
